Title,Summary
"Bella Luna","The food can be uneven, but there are enough satisfying options to please a neigborhood crowd."
"Eolo Sicilia a Tavola","An ambitious attempt in Chelsea to present Sicilian food beyond square pizza."
"Taboon","At Taboon, a Middle-Eastern inflected restaurant in the Clinton section of midtown Manhattan, it's all about the oven: a brick-walled, cement-coated, wood-burning hive that's situated near the entrance and grabs your attention the minute you walk in the door."
"Spigolo","In a charming, intimate and noisy room on the Upper East Side, Spigolo serves honest, earnest Italian and Mediterranean fare."
"Caracas Arepa Bar","Caracas Arepa Bar boasts one of the most consistent kitchens of any cheap food spot in New York."
"Chaiwali","On two lovingly decorated floors of a Harlem brownstone, this restaurant serves the relaxed, light-handed, modern food that Americans with roots in India may cook at home."
"Masha & the Bear","At Masha and the Bear, the horseradish vodka is infused in-house and stored in pressurized kegs to avoid exposure to air; Anya Vasilenko, the chef, cleaves to tradition with dishes like ukha, a fish soup purportedly beloved by Ivan the Terrible, and Herring in a Fur Coat, a salad born of the Russian Revolution, uniting proletarian herring and peasant potatoes under a mantle of beets in Bolshevik red."
"Buddakan New York","Buddakan is the apotheosis of a distinct genre: the post-millennial urban mess hall as supersize cocktail lounge with stylized dishes, which chart a far-out trip to the Far East."
"Cafecito Bogota","At this Colombian cafe and wine bar, arepas are broad, flat, piled high with toppings and best approached with knife and fork."
"Candle 79","Candle 79 doesn't quite make you forget that meat, fish, dairy and eggs aren't coming to the party."
"Luke’s Lobster","The purest Down East flavor the city has to offer."
"Joy Luck Palace","Much of the food — classics like stuffed bitter melon alongside faddishly cute pig-shaped custard buns — is good, if not transcendent, at this dim sum hall in Manhattan’s Chinatown. Expect a long wait and mayhem."
"Miss Lily’s Favourite Cakes","Sightly haute-ified Jamaican food in a diner environment."
"Barclays Center","Barclays Center’s spaceship-shiny silver lobby is lined with with 12 permanent concessions that all make some claim to a Brooklyn bond."
"Minca","The chef at Minca calls it a ramen factory, but there is little about the place that suggests an assembly line."
"Botequim","Botequim has Brazilian food that, under the direction of the chef Marco Moreira, is really too good to be trapped in the basement of a hotel on Fourth Avenue."
"Capital Grille","The servers at Capital Grille seem to have graduated from master classes in solicitous smiling, but the food they carry out is less assured."
"Please Don't Tell","The deep-fried hot dogs at PDT offer a different take altogether on cocktail food, though the flavor basics are the same."
"Brooklyn Ball Factory","A Japanese comfort food and coffee shop in East Williamsburg with a rooftop deck. As for the brief menu, the ingredients are not extraordinary, the preparations not complicated. They don’t need to be."
"Tut’s Hub Royal Cuisine","A few blocks south of the Little Egypt strip in Astoria, Queens, Tut’s Hub stands three stories, crowned by the sun disk of Aten and guarded by a statue of the warrior goddess Sekhmet. The surroundings are lofty, but few dishes rise above $10, orders are placed at the cash register and the best dishes have roots in the streets."
"Mojito","At Mojito — which is well balanced, like a good cocktail — Cuban kitsch doesn't overwhelm the Brooklynness of the place."
"Onomea","Spam gets pride of place at Onomea, which serves Hawaiian food in a dining room that suggests a sauna in the middle of a rain forest."
"Mission Chinese Food","Idiosyncrasy is to Mission Chinese Food what the Bloomin’ Onion is to an Outback Steakhouse, and at its new location, the restaurant's menu is more varied than before, drawing from regions beyond Sichuan and countries beyond China."
"Dickson’s Farmstand Meats","This butcher shop’s weekday-only lunch menu offers a thoughtful primer on Dickson’s splendid, locally sourced meats."
"Tito King’s Kitchen at Jimmy’s No. 43","At Tito King’s, a restaurant-in-residence at Jimmy’s No. 43, the brief menu includes chicken wings braised in adobo; pork belly in tacos; a grass-fed burger with a trickle of Maggi sauce; and a take on disco fries with ground pork, Kewpie mayonnaise and dancing bonito flakes doing the Hustle."
"Tao","Tao is not so much a restaurant as a nonstop party interrupted by funny food."
"Blue Fin","Blue Fin, in the W Times Square Hotel, serves fish of unmistakable quality."
"Frankies 457 Court Street Spuntino","The two Frankies have adapted Italian-American recipes with better-than-usual ingredients, a dash of nostalgia and some creative interpretation."
"Armani Ristorante Fifth Avenue","Armani Ristorante, on the third floor of the Armani store on Fifth Avenue, looks a little odd, but when the menu is at its best, it takes its cues from the understated style of Milanese cuisine."
"Estiatorio Milos","Since 1997, Milos has served Greek cuisine, particularly whole fish and shellfish kept on ice near the open kitchen, to loyal customers who can afford the forbidding prices."
"Kai Feng Fu Dumpling House","One of the best places in New York to try niu rou shao bing, an exquisite sandwich on bread that rivals anything from Sullivan Street Bakery."
"Arabelle","Arabelle has all the charm in the world -- but for a truly great meal at the Plaza Athénée, you'll have to fly to Paris.
Video Tour"
"One if by Land, Two if by Sea","One if by Land, which has been around since 1972, needs to do better, though it can probably get by on ambience alone."
"Corkbuzz Wine Studio","A spacious, sleek, friendly wine bar with a global spin."
"B & K French Cuisine","Benjamin Baccari Kebe, the owner and chef of this tiny Harlem storefront, brings classical French technique to a simple, gently priced menu, braising beef for hours just for a sandwich and making fish and chips with a batter so buoyant, it looks like armored air."
"Tamarind Tribeca","It may seem like it might be a pan-Indian food mill for the professional class, but Tamarind is an extremely pleasant place to dine."
"Mas","Even as it ages Mas still feels every bit as attentive, eager and earnest as it did when it opened in March 2004."
"Tanoshi","Tanoshi is a surprise in a city with few options for sushi between the wincingly expensive and the suspiciously cheap."
"Ngam","Hong Thaimee, a native of Thailand who has cooked for the royal family there, reinterprets Thai cuisine as modern comfort food."
"Whitehall Bar and Kitchen","British-themed and, surprisingly, kind of sexy."
"Ici","Ici is a sweet restaurant in Fort Greene full of unpretentious pleasures."
"Riverpark","A shimmery addition to the empire of Tom Colicchio, Riverpark is at the end of a private street on the far eastern shore of Kips Bay."
"Frankie & Johnnie's","A perennially packed steakhouse on 45th Street where the drinks are strong. Meyer Lansky no longer sits at the bar, though you can occasionally find Sarah Jessica Parker and Matthew Broderick."
"Kaffe 1668","Lattes in paper cups for New Yorkers on the run; for the obsessed, seasonal single-origin espresso."
"Sable's","The selection of smoked fish is terrific at Sable's, a narrow store with barely enough room for people to line up at the counter."
"A-Wah","This bright, homey restaurant serves more than a dozen varieties of the Hong Kong specialty called bo zai fan, or ""clay pot rice"" in Cantonese."
"Gabriel Kreuther","Gabriel Kreuther named his new restaurant on 42nd Street after himself, but it could just as easily be called the Modern in Exile, as he took along that restaurant's pastry chef and replicated its two-in-one structure."
"Patina","It can be an intimate, if slightly disorienting experience dining at this very small West African restaurant in the Bronx. No menu is presented, at least not in written form, and only a few dishes are available at a time. But the food is delicious: earthy soups and stews over dense, chewy rice and black-eyed peas, with seams of heat from hidden Scotch bonnets."
"Maoz Vegetarian","With shops on three continents, Amsterdam-born Maoz Vegetarian is a falafel chain that's achieved the success other such ventures might envy."
"Koi","Koi is big, bold and delightfully kooky, but the cuisine is much less certain than the sexy vibe."
"L'Artusi","L'Artusi, the new venture by the team behind dell'Anima, is fitfully enjoyable."
"Da Andrea","At Da Andrea, what had been a dependably average West Village Italian restaurant soon revealed itself to be something else: a dependably good local favorite, one with ambition."
"Telepan Local","Telepan Local offers almost none of the virtues of small-plates eating with most of the drawbacks."
"Uncle Boons","This dark, woody, half-underground Thai pub serves some of the freshest and most dynamic Thai flavors in the city."
"Fu Run","A bright, friendly restaurant near the 7 train, specializing in Beijing- and Northeast-style Chinese food."
"Cagen","Toshio Tomita, the chef and owner, worked for 16 years for Nobu Matsuhisa, and he has his mentor’s ability to bend Japanese tradition in his own directions."
"Gran Eléctrica","Gran Eléctrica, an upscale Mexican restaurant near the Dumbo waterfront in Brooklyn, wants to have it both ways: to be elevated yet rustic, chic yet homey."
"Commerce","Commerce strikes a visual and auditory pose that combines elements of the Waverly Inn with strains of Balthazar, but its menu and dishes are fussier, in ways that sometimes undercut the food's appeal."
"Shuko","Jimmy Lau and Nick Kim, the chefs and owners, rose to the top of Masa Takayama’s restaurant group. What’s impressive about their own restaurant, Shuko, is how many times the chefs ring the bells without resorting to clichéd indulgences."
"Krystal's Cafe","The truth is Filipino cuisine is as homey and accessible as any kind of cooking; Krystal's Cafe in Woodside hammers that lesson home."
"Taam-Tov","Taam-Tov is the best deal in the diamond district."
"Parm","The second restaurant from Rich Torrisi and Mario Carbone treats the sandwiches and steam-table contorni of Italian delis as a legitimate subspecies of American cuisine that deserves respect."
"The Cannibal","Resto’s Christian Pappanicholas expands with this butcher shop and beer bar with great snacks."
"The Islands","The quirks make the Islands, a Jamaican spot in Brooklyn, feel like a home kitchen, but it's the food that makes it worth a visit."
"Wassail","The all-vegetable menu and the staggering variety of ciders make it clear that Wassail’s owners are obsessed in the best possible way."
"Kaz an Nou","A tiny, romantic French-Guadeloupe eatery run by a charming young couple who make earthy, comforting food."
"Mile End Sandwich","Mile End Sandwich, the Manhattan offshoot of Mile End deli in Brooklyn, looks more like a Helmut Lang boutique than an appetizing shop. The roster of sandwiches, more expansive than in Brooklyn, reads like a family album of the Jewish diaspora."
"Il Giglio","While it is possible to get decent pasta at Il Giglio, the farther the menu strays from Italy, the better the food."
"Ruffian Wine Bar & Chef’s Table","The scope of the wine list and the inventiveness of the cooking are among the more impressive feats pulled off by this narrow sliver of a wine bar."
"Alouette","When this casual French restaurant opened in early 1998, it created a buzz of excitement in a neighborhood not used to exciting restaurants."
"Cipriani Downtown","Good Italian food at outrageous prices."
"Cafe Riazor","Sample Spanish classics — shrimp, chorizo, octopus, pork — at this subterranean restaurant in the middle of a residential block in Chelsea."
"Circus","Relocated, but still serving Brazilian fare to beautiful Brazilians."
"The Simone","A classic Manhattan restaurant that seems to have emerged fully formed out of a time capsule sealed in the last century, the Simone has the kind of warmth that has become rare in Manhattan’s increasingly corporatized restaurant scene."
"Limani","Limani’s menu is Greek and its strength is formidably expensive seafood, which up until the moment it is laid on the grill can be found spread out on a small mountain of ice at the edge of the open kitchen."
"Wasan","The rigorous techniques of washoku, classical Japanese cuisine, are upheld at Wasan, and infused with a sly affection for the chefs’ adopted city."
"Zaytoons","Few other moderately priced Middle Eastern restaurants offer the combination of genial, relaxed surroundings and simple but meticulously prepared food that Zaytoons does."
"Ippudo","A bowl of ramen at Ippudo isn't just a meal: it's an invitation to get lost in a world of layered, nuanced flavors."
"Red Rooster Harlem","Marcus Samuelsson’s vibrant restaurant on Lenox Avenue is that rarest of cultural institutions, one that supports not just the idea or promise of diversity, but diversity itself."
"Delicatessen","Delicatessen, specializing in interpretive comfort food, may not be particularly good, but it's smart, and it understands its audience."
"Anjappar","Chettinadu cuisine, the specialty of this New York franchise of a Chennai-based chain, is surprisingly meat-centric, considering its origins in vegetarian-dominated southern India."
"Ali Baba's Terrace","A sibling of the Turkish restaurant Ali Baba, this newer location has a lengthier menu that includes the same sparkling array of dips and spreads with puffy bread."
"Karasu","Karasu is a speakeasy behind the back wall of a corner tavern. The first surprising thing about the food is that there is any. The second is that it’s so polished and considered."
"Baoburg","Baoburg’s idiosyncratic menu owes as much to classical European technique as it does to the cross-cultural upbringing of the chef, Suchanan Aksornnan."
"Il Postino","Although it's not worth the money, the northern Italian food is good."
"Empanada Mama","One thing is certain at Empanada Mama, the first Manhattan outpost of the Queens-based Mama's Empanadas chainlet: these are not your mother's empanadas."
"East Coast Poké","Brooklyn-born Alfred DiMartini, a former line cook at Lupa and Bouley, makes fine, honest poke, without too many complications."
"Pig and Khao","Eating at this restaurant can be like poring over an album of carefully edited postcards from chef Leah Cohen's travels."
"Ristorante Morini","Most of the food here is as carefully prepared and well-considered food as any that Michael White’s Altamarea Group has given New York since Ai Fiori opened in 2010."
"The Red Cat","By turns cozy and sexy, laid-back and fleet, the Red Cat is immensely appealing."
"Recette","An ambitious restaurant in the space of a deeply casual one, with a menu that appears to embrace the small-plates trend."
"Crave Fishbar","Though seafood (including hake in an Asian broth and tilefish with pea purée) dominates the menu, meat-eaters will find grilled veal tongue, steak and fried chicken."
"Taim","Taim's falafel, transformed by the fresh herbs that go into the dough, is at the front of the pack."
"Alfama","With few options in Manhattan for Portuguese food, Alfama can sate cravings for salt cod, chourico and creamy desserts."
"Sakagura","If you do Sakagura right, there will be much sake to sop up."
"Cafe Steinhof","Cafe Steinhof in Park Slope is just about New York's homiest Austrian outpost."
"Kefi","In a new location on the Upper West Side that more than doubles its size, Kefi still offers robust, generously portioned Greek cooking at contained prices that make it feel like a bargain."
"Bar Americain","The fact that décor and food seem color-coordinated at Bar Americain is a testament to the unsubtle, upbeat spirit of Bobby Flay's cooking."
"Ditch Plains","A sleek lobster shack in the West Village from restaurateurs Marc and Pamela Schein Murphy, the duo behind Landmarc."
"Maya","Some of New York City's most interesting Mexican food is served in a bright, festive room."
"Ayada","A serious Thai restaurant in Elmhurst, Queens, that makes no concessions to Western palates."
"Hanjan","Hooni Kim has quickly become New York’s leading interpreter of Korean cuisine."
"'21' Club","There are only a few things at “21” that one can order with any anticipation: the famous chicken hash, the “21” burger and the coconut cake, topped with a beehive of white meringue and toasted coconut. But to judge “21” as a restaurant is to miss the point of the place."
"Hope & Anchor","This neighborhood place in a neighborhood that doesn't have a lot of people offers both upscale and down-home dishes."
"Tipsy Parson","Tipsy Parson is a grandmotherly Chelsea restaurant serving small-town restaurant fare."
"Kichin","At Kichin, a mostly Korean, mostly takeout shop under the Marcy Avenue L train stop, the young chef Bryan Moon champions the dishes of his childhood and invents a few of his own, including a rice ball prickly with bacon shards, hiding a soft-boiled quail egg at its center."
"Plant Love House","At this cheerful, unassuming storefront, Manadsanan Sutipayakul is cooking for the neighborhood: the clientele is mostly Thai, the dishes comforting rather than showy. Her daughters make the desserts, which include sizzling platters designed to make you gasp or giggle."
"La Paella","Dark, crowded, smoky and loud, La Paella is like an American's fantasy of a Spanish tapas bar and includes the basic tapas repertory."
"Good Fork","The Good Fork has an accessible menu that neighborhood folks can rely on for a simple dinner but that boasts enough rewarding dishes to lure bridge and tunnel folks out to Red Hook."
"Il Mulino","Big portions, long waits, a halcyon atmosphere."
"Grano Trattoria","Dishes are remarkably inconsistent, from appealing appetizers and pastas to main courses that can be wretched."
"Bouley","David Bouley’s new flagship for his refined French fare is the grandest yet, but maintains a vaulted ceiling, here glossed in gold. Workmen and materials, including hand-cut stone and 300-year-old wooden beams, have been brought from France to create a downtown chateau, with a hand-painted garden room, a library and a romantic lower-level 'cave.' The cooks have not been forgotten either, with a windowed, street-level kitchen paneled in marble. The former Bouley, on the corner of Duane Street and West Broadway, will become a market, and Upstairs at Bouley Bakery will spill down into what is now the market and bakery, doubling its seating."
"Egg","The fried chicken at Egg in Williamsburg, Brooklyn, is so good I watched a Southern-born friend devour nearly two whole portions in one sitting."
"Pasquale Jones","The menu flits from pizza to pasta to the inevitable small plates to a rib-eye for two; most of the food is cooked in wood-burning ovens; and the noteworthy wine list roams beyond Italy and offers bottles that used to be considered too good for a pizza parlor."
"Forcella","Some of the pizzas at Forcella, a pizzeria serving Naples-style pies, are championship-caliber."
"El Centro","El Centro has some significant shortcomings on its menu, but it's worth a visit just for the Mexican dishes and the drinks that it gets right."
"Arpeggio Food and Wine","Restaurant Associates has reconfigured Avery Fisher Hall's dining options with a wine bar, Arpeggio Food and Wine, open until midnight."
"Hill Country Chicken","Hill Country Chicken turns out some top-level Southern food."
"Machiavelli","A grand, artsy homage to Italian food, with Renaissance-style murals, live piano music and a dedicated pasta chef."
"David Burke Townhouse","Diners here are in for terrific savories, a reasonable and unusual wine list and excellent people-watching."
"Sfoglia","Less a showy bid for greatness than an earnest reach for goodness, Sfoglia hits its mark and then some, with inventive pasta dishes, carefully cooked meat and seafood, a few knockout desserts and some of the best bread in all of Manhattan."
"Lumpia Shack Snackbar","At Lumpia Shack Snackbar, Neil Syham, the chef, makes pretty but still potent versions of Filipino classics. There are just a few stools along the counter, which is too bad, because this is food best eaten on the spot."
"Kurumazushi","Hidden on the second floor of an intensely Ben Katchoresque office building filled with gem dealers, Kurumazushi is one of New York’s oldest sushi restaurants."
"Tomoe Sushi","Small, plain Tomoe has terrific sushi — which explains the perpetual long lines."
"Sadelle’s","A superb bakery is at the core of a sprawling restaurant that serves smoked fish and other Jewish coffee shop food by day and refined Eastern European plates by night."
"Kristalbelli","Korean barbecue goes upscale, with smokeless grills made of crystal, sommeliers and prices to match."
"Kodama Japanese Restaurant","Although the decor is drab and the menu almost frighteningly large, this remains a perennially popular restaurant with people who work at The New York Times."
"Le Coucou","At Daniel Rose’s first restaurant in New York, the cooking is informed by old-school traditions, focuses on animal parts, and revolves around glossy, spoon-coating, cream- and butter-reinforced sauces."
"Roman's","The structure of Roman's maddening menu is offset by its clean, almost monastically pure cooking."
"Nomad","A Nomad in the East Village, you’ll find aggressively and expertly spiced Algerian sausages and cravable, eye-opening pastries."
"Amma","By taking the back roads, and steering clear of the tired tourist sites, Amma shows diners a different India, so old that it seems fresh."
"Pata Cafe","At this offshoot of the Thai bar Pata Paplean, a tree climbs from the floor through the ceiling. It’s as if you’d popped through a trap door into a secret clubhouse. Sunisa Nitmai, a native of Isan, Thailand’s northeast, cooks as she would at home: plain-spoken Thai dishes, none over $10, that taste of gestures timeworn but never taken for granted, and of honest pleasure in what a handful of ingredients can do."
"'Wichcraft","The sandwiches are good at this Tom Colicchio-backed fancy sandwich chainlet."
"Lucky Eight","At 5204 Eighth Avenue, Sunset Park, Brooklyn, Lucky Eight is a small place with a big repertory spread across three menus."
"Locanda Verde","The chef Andrew Carmellini's cooking at Locanda Verde lacks the polish of his efforts at A Voce, but the best of it makes for a terrific meal."
"Cafe Katja","A tiny, spirited Austrian spot on the Lower East Side."
"Bien Cuit","Artisanal breads and pastries worthy of Paris."
"Rusty Knot","The Rusty Knot takes its lack of pretension seriously, which is no doubt oxymoronic and the very essence of its charm."
"Tiella","A “tiella&quot; is a roasting pan in Italy; in this tiny brick-walled spot, it’s a pan pizza, dressed with luxurious toppings of prosciutto, bottarga and truffle."
"Coppelia","This self-styled 24-hour Cuban luncheonette serves a wide-ranging menu of Latino food from across the Caribbean and into South America."
"5 Ninth","Like the meatpacking district, in which it resides, 5 Ninth is for people who are willing to choose unsteady exuberance over steady expertise."
"Kabab King Diner","Perhaps it's fitting that a place celebrating the humble kebab is itself as humble and unprepossessing as Kabab King Diner in Jackson Heights, Queens."
"Claudette","Claudette serves Provençal cuisine with an intelligent twist. Rather than treating the region as if it were frozen in time and sealed off from the world, the kitchen casts a few glances at the North African immigrants who live and cook there."
"La Tortilleria Los Hermanos","The menu at La Tortillería Mexicana Los Hermanos is sparse, but when top-notch tacos are available, how much else does one need?"
"Pam Real Thai Food","At this sweet little restaurant in Clinton, the compromises are not always obvious."
"Korchma Taras Bulba","Sometimes a lot of strong liquor and a little rich food are just the thing, and the Ukrainian fare at Taras Bulba has the combination nailed."
"Leche y Miel Restaurant","Rideiby Peña, the chef of Leche y Miel, and his wife, Altagracia Peña, both have roots in the Dominican Republic, as do the finest dishes here."
"Rickshaw Dumpling Bar","Some items have inched closer to deliciousness since it opened, but much of the food still lacks oomph."
"Shalom Japan","Shalom Japan’s unlikely name makes a merry hash of the cultural heritages of the married owners and chefs, Aaron Israel and Sawako Okochi."
"Azalea","Fate has dealt Azalea a couple of tough cards, but the kitchen does its best to overcome them."
"Dogmatic","These wieners are so high-minded, they're served in baguettes."
"Yopparai","Everything at Yopparai is designed to unknot the mind: cushioned benches for two in lieu of bar stools; sake poured in doll-size cups, forcing you to sip; comforting small plates and rustic snacks; a cloudy undertow of jazz. At this modest sake bar, you eat the way you drink, in tiny mouthfuls. And so the hours drift. You will not notice."
"Saravana Bhavan","A vegetarian Southern India-style restaurant in Murray Hill."
"Angela’s","At her namesake restaurant, due north of some of the city’s more celebrated Trinidadian roti and doubles shops, Angela Pellew-Whyte presents pan-Caribbean dishes — saltfish and bake, curry goat, a profound oxtail stew — under a wooden chandelier, as what sounds like one eternal song loops from the speakers."
"Kottu House","At Kottu House, Chelaka Gunamuni, a young man in stubbly beard and tattoos (one a birthday gift from his wife), tends to the front of the house while his mother, Sandya “Madu” De Silva, cooks a short menu focused on kottu, a Sri Lankan street food that tosses together tatters of roti, scrambled eggs and long-simmering curry."
"Temple Canteen","It is amazing what the cooks at Temple Canteen can conjure up with little more than lentil-rice flour, loads of butter and a giant, searing hot griddle. Tubular paper dosas are vellum thin and shatteringly crisp. As long as a grown man’s arm, they are bigger even than the cafeteria-style plastic trays that are provided for ferrying the food from counter to table."
"Casa la Femme","There's really no escaping Casa la Femme North's facile exoticism, but the food is impressive."
"Nom Wah Tea Parlor","The first dim sum joint in Chinatown has dispensed with metal carts and serves dim sum made to order."
"Urubamba","The earth-toned interior provides a subdued setting for the often colorful Peruvian fare."
"Esca","Is Dave Pasternack a fish whisperer? On the evidence of Esca, the answer seems to be yes."
"Scalini Fedeli","Scalini Fedeli has no edge. What it has, instead, is old-fashioned grace."
"Somtum Der","Called som tum in Thailand, papaya salad gives this nearly three-month-old restaurant its name and is its star attraction, made to order in eight variations."
"Papaye","Located on a sunny corner of the Grand Concourse, Papaye serves Ghanaian cooking that can be deeply satisfying."
"Gobo","Gobo deals in a fair amount of faux food, some of which flops and some of which succeeds."
"Carteles","This adorable, brightly tiled East Village cafe serves a knock-out sandwich they call a Cubano Christo and other Cuban dishes."
"Cafe China","This quaint, demure restaurant serves uncompromising Sichuan food that can stand with Manhattan’s best."
"Tocqueville","Tocqueville's shortcomings are more noticeable in the context of a new space — and new expectations — but the considerable pleasures of Marco Moreira's cooking are intact."
"Dinosaur Bar-B-Que","It will take something short of a miracle to turn Dinosaur Bar-B-Que into the barbecue refuge New Yorkers have been hoping for."
"Shanghai Pavilion","The food at Shanghai Pavilion is lively and balanced, emphasizing the lightness and delicacy for which Shanghai cooking is known."
"Salt & Fat","Daniel Yi, the chef and owner of Salt & Fat, describes his cooking as New American, and in a sense it is exactly, exultingly that — the food of the new America, in which immigrants companionably raid one another’s larders."
"Calexico Carne Asada","This Carroll Gardens taqueria serves a carne asada quesadilla that has a punch of flavor so intense, it’s hard to justify ordering anything else."
"Locanda Vini e Olii","Passion rules at Locanda Vini & Olii, and it is evident in almost every bite."
"Caravan of Dreams","The food at this vegan restaurant, which looks more like a college hangout than a health-food spot, is nothing to sneer at."
"The  Russian Tea Room","After a four-year hibernation, the Russian Tea Room stirred to renewed life in early November with a seriously gifted chef, Gary Robins, in charge of the kitchen."
"Shake Shack","The salty, meaty little burgers swaddled by potato rolls are so good that Shake Shack is swarmed with diners."
"Little Park","At Little Park, Andrew Carmellini and his chef de cuisine, Min Kong, are working out their ideas from scratch; this may be why the best dishes there seem more fresh, natural and intuitive than what’s on Mr. Carmellini's other menus."
"Phil-Am Kusina","This Filipino restaurant on the North Shore of Staten Island is run by Manny Imperial, a young chef who started working at age 5 at his parents’ grocery down the street. Portions are generous, prices kind, and the menu mostly reassuring to those unfamiliar with the cuisine."
"The Spotted Pig","April Bloomfield and Ken Friedman’s tchotchke-filled gastropub is hugely influential and enduringly popular."
"Blue Ribbon Sushi Bar and Grill","Eric and Bruce Bromberg, the brothers responsible for the Blue Ribbon brood, have brought their bold culinary eclecticism uptown and given it a large-scale setting in the 6 Columbus hotel."
"Palm Too","First-rate steakhouse food, at least if you stick to the original script of salad and tangy, prime-rated beef, or salad and massive, perfectly acceptable lobster, along with potatoes and greens."
"Cowgirl SeaHorse","An offshoot of the Cowgirl Hall of Fame, Cowgirl SeaHorse is open and fun — and a house margarita paired with warm, salty tortilla chips does much to recall the freak flagship's mood of tolerance."
"Il Posto Accanto","Il Posto Accanto, a dim, intriguing wine bar and restaurant in the East Village, has the effortless appeal of a crooked grin, a rumpled sweater and a dangling cigarette."
"Taqueria Tlaxcalli","The menu includes tacos, tortas, gorditas, sopes and molcajetes, all prepared with fidelity to the spirit of Mexico City’s taquerias."
"Blue Ribbon Sushi","If you want a traditional sushi bar, go elsewhere."
"Via Carota","Jody Williams, who shares responsibility for Via Carota’s Italian menu with Rita Sodi, has filled Via Carota with flea-market triumphs that give the dining room an ambient level of cuteness that is balanced by an Italian severity. The two chefs cook food that is deeply appealing, without mugging. Ms. Sodi is a stickler about the pastas; like the meat and fish dishes, they aren’t any more complicated than they need to be."
"Jams","The original Jams was one of the most influential restaurants of the 1980s, but this Jams reboot, inside the 1 Hotel Central Park, is stiff in the joints and short on joie de vivre."
"The Odeon","The kitchen retrenched years ago to a comfortably broken-in lineup of French and American standards. Cooking like this is sometimes called comfort food, but a better word for the menu and everything else about the Odeon is restorative."
"Sammy's Roumanian Steakhouse","What happens at Sammy’s doesn’t happen at other restaurants, and vice versa. The rest of the Lower East Side can obsess over filament lightbulbs; Sammy’s, Manhattan’s last surviving Roumanian-Jewish restaurant, will be ready when fluorescents make their triumphant return to fashion. It takes you back to 1975 with a little song, a little dance and even a little seltzer."
"Lucali","Lucali is committed to finding better ingredients and better techniques, which is good news for pizza lovers."
"ABC Cocina","The menu, a collaboration of Jean-Georges Vongerichten and Dan Kluger, rummages through the cupboards of Spanish-speaking countries."
"The Harrison","Modern-American bistro food cooked with a New England accent, served in a beautiful, TriBeCa date-night room."
"Northern Spy Food Company","The greenmarket-driven Northern Spy offers down-home cooking executed with a precision honed in high-end kitchens."
"Sandro's","If dishes like crispy fried artichokes manage to displace the old Tuscan holdovers on the menu, New Yorkers will have a treat on their hands."
"Arepa Lady","For more than two decades, Maria Piedad Cano, a.k.a. the Arepa Lady, has parked her cart among the late-night roisterers of Roosevelt Avenue in Jackson Heights, Queens. Now her arepas are available at normal waking hours, at a small restaurant."
"North End Grill","North End Grill has more focus than in its early days. Eric Korsh’s cooking can look rustic, but his embellishments betray a refined sensibility."
"Manila Social Club","Manila Social Club in Williamsburg, Brooklyn, harks back to the chef Björn DelaCruz's grandmother’s home in Davao Oriental, the Philippines, with orchids arcing from the windowsills, and nostalgia likewise suffuses the best dishes."
"Uminoie","Uminoie, a ramshackle little place in the East Village, serves an idiosyncratic blend of Japanese food cooked in the style of Goto Island."
"Deb's","Deb's is a benevolent neighborhood monarch whose flock cries out for sturdy, tasty meals that give them the strength to carry on."
"Agua Fresca","Adrian Leon introduces nontraditional ingredients and ambitious flavor combinations into the mainly Mexican menu at his snug restaurant."
"Khao Man Gai NY","Emorn Henshaw, who grew up in northeast Thailand, spent two years perfecting her recipe for khao man gai (literally translated as chicken fat rice) before she and her husband, Eric, started serving it food markets, and now this location."
"Nights and Weekends","This Havana-meets-hipster bar in Greenpoint offers Caribbean-inspired small plates and salads."
"Shabu-Tatsu","These two bright, festive and informal restaurants specialize in sukiyaki and shabu shabu, dishes that are cooked on circular metal grills set over burners in the center of each table."
"Cafe Glechik","Why not just plow through a lunch at Café Glechik, waddle down to the beach just a block away, and be done with it for rest of the day?"
"Abigail Cafe & Wine Bar","Abigail Hitchcock  and her husband, Jason Noble, who own CamaJe Bistro and Lounge in Greenwich Village, adds this spacious place to their inventory. It’s meant for casual dining but offers some dressy touches, like chandeliers, in a brick and wood setting. The menu emphasizes salads, sandwiches, small plates and children’s fare. Heartier appetites will find hanger steak and chicken."
"Jaiya","In addition to the standard Thai entrees, you'll find many vegetarian dishes and several interesting Thai soups and appetizers."
"Triomphe","The Iroquois, in the final phase of its transformation into  a chic boutique hotel, has trumped its old rival, the Algonquin: It has created a restaurant worth eating at."
"Cochinita","This little Clinton Hill taqueria is modern in aesthetic, but its reverence for Mexican street food is strictly traditional."
"Amy Ruth's","Amy Ruth's succeeds in presenting Southern food that manages to be up-to-date without sacrificing time-honored traditions."
"Peter Luger Steak House","Visits to the Peter Luger steakhouse have suggested an inconsistency at odds with its legend."
"Chumley’s","At the address of a famous former speakeasy is a restaurant that has nothing in common with the original except a name, a door, an archway and framed photographs of, and jackets of books by, writers who used to drink there. The old regulars would have taken one look at the new menu and called for another shot, but the cooking is exciting; some of it even resembles bar food."
"Dosa Garden","Helping to prove the merits of Staten Island dining, this Southern Indian standout features the deep, smoky, vibrant curries of Chettinad, in the southern Indian state of Tamil Nadu."
"Nobu 57","Nobu 57 may not be a new dining experience, but it lives up to its place in the Nobu family of restaurants."
