Title,Summary,review_link,review_link-href,Review,Recommended-dishes,address,telephone,drinks,cuisine
"Bunker","This scuffed yellow storefront on the desolate eastern edge of Ridgewood, Queens, is not where you expect to find a chef who once cooked at Eleven Madison Park, and who is now making some of the best Vietnamese street-style food in New York City.","Read Review","http://www.nytimes.com/2013/05/22/dining/reviews/hungry-city-bunker-in-ridgewood-queens.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Flames leap out of a sawed-off oil barrel at the 24-hour scrap-metal yard across the street. Power lines droop, above them nothing but blue. It is practically big-sky country out here on the eastern edge of Ridgewood, Queens, buildings slouching and sun smacking down.""},{""Review"":""A sign says, “We do plastics, scarf, stationery.” Walk a little farther, to the scuffed yellow storefront with a floral-plaid ruffle in the window. Two red light bulbs flank the door. It is not where you would expect to find a chef who once cooked at Eleven Madison Park and who is now making some of the best Vietnamese street-style food in New York.""}]","singlepage.com/bunker-17","46-63 Metropolitan Avenue ,
                             Ridgewood","718-386-4282","Crab spring rolls; papaya salad; banh xeo; pho ga; suon nuong xa; cha ca; tom thit ram; Saigon special banh mi; coconut tapioca pudding.","Vietnamese"
"Oda House","Oda House, on a subdued corner of Alphabet City, may be the first restaurant in Manhattan to capture the inclusive and at times shambolic spirit of Georgian restaurants in southern Brooklyn.","Read Review","http://www.nytimes.com/2013/08/14/dining/reviews/hungry-city-oda-house-in-the-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""It is early evening, but the crowd at Oda House is ready for 3 a.m. Young women with undulating hair, dressed in black from shoulder to mid-thigh, are primed for fancier precincts than this subdued corner of Alphabet City. Older women at other tables occasionally lean over to dispense advice. What appears to be one vast family has colonized the seats by the front windows.""},{""Review"":""The floor is tile, the tables scratched, the light fixtures ruffled and crimped. On a speaker rests an overgrown sheepskin papakhi, cousin to the astrakhan hat, with wild woolly dreadlocks. Later there will be folk songs on hand drum and phanduri, a long-necked lute. It is a scene you might expect to find on Avenue U, not Avenue B.""}]","singlepage.com/oda-house","76 Avenue B,
                             East Village","212-353-3838","Any version of khachapuri, particularly kubdari, lobiani, imeruli, adjaruli and chvishtari; lobio; chakapuli; chkmeruli; salmon.","Eastern European"
"Chuko","The unexpected stars of the menu at this 35-seat ramen shop are the vegetables, lusty and infused with swagger.","Read Review","http://www.nytimes.com/2011/11/30/dining/reviews/chuko-nyc-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""552 Vanderbilt Avenue (Dean Street), Prospect Heights, Brooklyn; (718) 576-6701; barchuko.com.""},{""Review"":""Chuko is a ramen joint, but its finest dish is a salad.""}]","singlepage.com/chuko","552 Vanderbilt Avenue,
                             Prospect Heights","718-576-6701","Kale salad with sweet potato and raisins; mizuna salad with apple, fennel and pork cracklings; crispy Brussels sprouts; salt-and-pepper chicken wings; and ramen with spicy ground pork and kimchi.","Japanese, Noodles"
"Purple Yam","At Purple Yam, the menu has old Filipino favorites but also looks widely across Asia for inspiration, most notably toward Korea, the cuisine of which provides both kimchi and flavored sojus, a mean bibimbap and a spicy tofu soup.","Read Review","http://www.nytimes.com/2009/12/30/dining/reviews/30rest.html?rref=collection%2Fcollection%2Frestaurant-guide","[]","null","null","null","null","null"
"Armani Ristorante Fifth Avenue","Armani Ristorante, on the third floor of the Armani store on Fifth Avenue, looks a little odd, but when the menu is at its best, it takes its cues from the understated style of Milanese cuisine.","Read Review","http://www.nytimes.com/2013/09/11/dining/reviews/restaurant-review-armani-ristorante-fifth-avenue-in-midtown.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""A few opulent restaurants opened right after the economy fell apart in 2008, like guests who pound on the door long after the lights have been turned out and the hosts have gone to bed. The rest of the city looked up from a collective hangover at their flashy outfits and expectant smiles and said, “Um, the party’s kind of over, dude.”""},{""Review"":""Armani Ristorante, inside the Armani store on Fifth Avenue in Midtown, was one of those late arrivals. The mood in the city was humbled, downsized, frightened, and here was an expensive restaurant reached by a private elevator from the street or, better, a sinuous white ramp that twisted past two floors of gowns and luxury leather goods like a floating catwalk. After a lunch there in early 2009, Frank Bruni, then the New York Times restaurant critic, wrote a blog post noting that “the whole thing just feels sort of tone-deaf and odd.” He never reviewed the restaurant, which seemed likely to end up in the same landfill where they’d deposited the carcass of Lehman Brothers.""}]","Two stories above Fifth Avenue, with tiny colored lights in the window, it resembles a very elegant revolving rooftop lounge.","717 Fifth Avenue,
                             Midtown East","212-207-1902","Gentle.","Italian"
"Claudette","Claudette serves Provençal cuisine with an intelligent twist. Rather than treating the region as if it were frozen in time and sealed off from the world, the kitchen casts a few glances at the North African immigrants who live and cook there.","Read Review","http://www.nytimes.com/2014/09/17/dining/restaurant-review-claudette-in-greenwich-village.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""The age of French dining in New York that blossomed in the unpromising soil of the Corona ash dumps during the 1939 World’s Fair, at the French Pavilion’s restaurant, seemed to come to its close about 10 years ago as mastodons like Lutèce lumbered into the fossil record. Today, that seems less like the end of an epoch than a salutary cooling-off period.""},{""Review"":""If you are having trouble getting a reservation at a new place this year, odds are high that the menu is speckled with accents grave, acute and circumflex. Dirty French is turning away customers at the door. Keith McNally sent frogs’ legs marching to the rescue at Cherche Midi after his pizzeria there fizzled. And just north of Washington Square Park, at an address that had started to look like a certain restaurant-killer, the doors at a new Provençal spot called Claudette have been thrown open to reveal closely packed rattan chairs, none of them empty.""}]","Half high-end beach rental, half high-end cafe, with French-door views of the street.","24 Fifth Avenue,
                             Greenwich Village","212-868-2424","Moderately loud.","French"
"The Simone","A classic Manhattan restaurant that seems to have emerged fully formed out of a time capsule sealed in the last century, the Simone has the kind of warmth that has become rare in Manhattan’s increasingly corporatized restaurant scene.","Read Review","http://www.nytimes.com/2014/06/04/dining/restaurant-review-the-simone-on-the-upper-east-side.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""The chef Chip Smith and his wife, Tina Vaughn, moved to New York in 2012 after shutting their restaurant in North Carolina, but the Simone, which they opened in November, doesn’t feel like a transplanted Southern flower. It is a classic Manhattan restaurant that seems to have emerged on East 82nd Street fully formed out of a time capsule sealed in the last century.""},{""Review"":""When you call the restaurant, which is the only way to reserve one of its 11 tables, Ms. Vaughn will write your name in something called a “book,” holding an implement known as a “pen.” She applies the same antique tool to the menu, which she writes out in cursive and photocopies each time Mr. Smith changes it.""}]","An intimate townhouse dining room, old-fashioned but not starchy.","151 East 82nd Street,
                             Upper East Side","212-772-8861","Deeply civilized.","American, French"
"La Grenouille","Gorgeous flowers, fine service, rich people and a menu written entirely in French.","Read Review","http://www.nytimes.com/2009/12/23/dining/reviews/23rest.html?rref=collection%2Fcollection%2Frestaurant-guide","[]","null","null","null","null","null"
"Del Posto","A place to sit in luxury and drink Barolo, while eating food that bewilders and thrills.","Read Review","http://www.nytimes.com/2010/09/29/dining/29rest.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""GREAT restaurants may start out that way. But an extraordinary restaurant generally develops only over time, the product of prolonged artistic risk and managerial attention. An extraordinary restaurant uses the threat of failure first as a spur to improvement, then as a vision of unimaginable calamity. An extraordinary restaurant can transcend the identity of its owners or chef or concept.""},{""Review"":""And of course an extraordinary restaurant serves food that leads to gasps and laughter, to serious discussion and demands for more of that, please, now. The point of fine dining is intense pleasure. For the customer, at any rate, an extraordinary restaurant should never be work.""}]","Italianate opulence that is formally casual, casually lavish.","85 Tenth Avenue,
                             Chelsea","212-497-8090","Moderate, though tables near the bar can be loud.","Italian"
"Russ & Daughters Cafe","The new Russ & Daughters Cafe is modeled on the old Russ & Daughters shop a few blocks away. But the cafe adds to, elaborates on and deviates from the store in many ways.","Read Review","http://www.nytimes.com/2014/07/30/dining/restaurant-review-russ-daughters-cafe.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Because the kippered salmon, the slippery pink lengths of matjes herring and the shiny white sturgeon at the new Russ & Daughters Cafe are the same products you can take home from the old Russ & Daughters shop a few blocks away on East Houston Street, a cynic may say that the restaurant offers nothing more than an opportunity to eat the proprietors’ fish on their plates instead of yours.""},{""Review"":""To which I’d say: What’s wrong with that?""}]","singlepage.com/russ--daughters-cafe","127 Orchard Street,
                             Lower East Side","212-475-4881","Knishes; latkes; pickles; chopped liver; Super Heebster; borscht; smoked whitefish chowder; lox, eggs and onions; all smoked fish and herring; blintzes; halvah ice cream. Excellent house-made sodas.","Eastern European"
"La Sirena","La Sirena has two dining rooms connected by a bar with the approximate dimensions of a jet runway. It's so large that somebody is always on the move. That perpetual motion supplies a lot of La Sirena’s energy; the rest comes from the dressy trattoria cooking.","Read Review","http://www.nytimes.com/2016/06/08/dining/la-sirena-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Somebody’s always on the move at La Sirena.""},{""Review"":""Trotting up the steps to the entrance above Ninth Avenue. Getting up to say hi to a fellow prowler of the Chelsea galleries. Breezing across a full dining room to exit through a glass door to the terrace.""}]","Two big dining rooms connected by a vast, busy bar; despite the size, there’s some civility to the proceedings. Service aspires to relaxed formality.","88 Ninth Avenue,
                             Chelsea","212-077-6096","Respectful to conversation.","Italian"
"Babycakes","The vegan bakery’s stand on the Rockaway Beach Boardwalk.","Read Review","http://www.nytimes.com/2011/06/22/dining/reviews/rockaway-beach-boardwalk-nyc-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""IT took imagination to envision the utilitarian concession stands on the Rockaway Beach Boardwalk as a food destination.""},{""Review"":""This spring, Andrew Field and David Selig of Rockaway Taco, the nearby surfer hangout, took over three Robert Moses-era brick bunkers (at Beach 86th, Beach 96th and Beach 106th Streets) and divided the concessions among like-minded chefs and restaurateurs who buy into the dream that beach food should be fresh and cheap, that high-quality fare can be served in paper baskets.""}]","singlepage.com/babycakes-5","Rockaway Beach Boardwalk at Beach 96th Street ,
                             Arverne","718-474-1709","Cookies, frozen brownie sandwich.","Bakery/Baked Goods, Desserts"
"Blue Collar","Blue Collar is a sunny counter-service-only spot, with red chairs and round white tables anchored by bottles of ketchup and mustard. Burgers, built in the In-N-Out Californian style, start at $4, single and unadorned, and top out at $6.25 for a double with cheese, which is the one you want.","Read Review","http://www.nytimes.com/2012/10/24/dining/reviews/hungry-city-blue-collar-and-lake-trout-in-williamsburg.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""THE artisanal revolution is apparently over in this corner of Brooklyn, a brief stretch of Havemeyer Street in Williamsburg where two fast-food joints, Blue Collar and Lake Trout, opened within a few doors of each other this past summer.""},{""Review"":""Granted, both are small, homegrown operations, not franchises, and have hipster cred: Blue Collar comes from Gavin Compton and Jeff Slagg, who run nearby Miller’s Tavern; Lake Trout is owned by Joe Carroll, whose small brood of neighborhood establishments includes barbecue standout Fette Sau, and by Matt Lang, Fette Sau’s former grillmaster.""}]","singlepage.com/blue-collar-12","160 Havemeyer Street,
                             Williamsburg","347-725-3837","Double burger with cheese.","Hamburgers"
"Junoon","A dream-state Del Posto, the sort of restaurant where of course you would order a ValpolicellaGrassi with your monkfish tikka.","Read Review","http://www.nytimes.com/2011/03/30/dining/reviews/30rest.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""TWO new Indian restaurants have joined the Manhattan fray, competitors for a place in the upper castes of the city’s Indian fine-dining scene. Junoon rises lush and enormous off a dark stretch of West 24th Street, an Indian restaurant remade as a luxe Western palace, with a marvelous wine list and perfect rye manhattans. Tulsi glitters bright and almost romantic on East 46th Street across the street from Sparks, a Midtown bet on a great chef’s talent.""},{""Review"":""Hemant Mathur is the force behind Tulsi. He was an owner and a chef at the pretty, bejeweled Devi, in the Flatiron district, where he often could be seen fussing nervously at the edges of the dining room before retreating to the kitchen to cook with rare brilliance. At Tulsi he does the same dance and, if the setting is less attractive, louder, less special than at his former restaurant, it places his cooking in sharper relief.""}]","A well-intentioned suburban feel, in the heart of Midtown.","211 East 46th Street,
                             Midtown East","212-888-0820","Raised voices are unnecessary.","Indian"
"Cosme","The first New York restaurant from the acclaimed Mexican chef Enrique Olvera pulls off two tough moves at once. First, its approach to Mexican cuisine is modern and relaxed, but without the superficiality that might imply. Second, it has a sharp instinct for what New Yorkers want when they go out for dinner, which isn’t often the case with restaurants opened by chefs from abroad.","Read Review","http://www.nytimes.com/2015/02/04/dining/restaurant-review-cosme-in-the-flatiron-district.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""A woman I once worked with had a facility for languages that was matched by her self-assurance. The rest of us had a hard time keeping track of her various proficiencies, and one time we asked her to remind us whether she knew Chinese.""},{""Review"":""“Oh, I would love to learn Chinese,” she said. “But I just don’t have eight weeks to spare.”""}]","Minimalist, with receding black ceilings; all the light and the attention are on the tables.","35 East 21st Street,
                             Flatiron","212-913-9659","Moderate.","Modernist"
"Flora Bar","Flora Bar, inside the Met Breuer, is less a restaurant than a wine bar, with small, tidily formal plates and a drinks list as exhaustive as any artist’s career retrospective.","Read Review","http://www.nytimes.com/2017/01/10/dining/flora-bar-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""I’m on the verge of giving up trying to explain why Ignacio Mattos’s food is so good.""},{""Review"":""I once wrote that the cooking at his first restaurant, now closed, dabbled in “deep, surrealist weirdness.” At Estela, the place on Houston Street that put him on the map, I described his food as “almost familiar, but not quite.” What struck me at his most recent restaurant, Café Altro Paradiso, was “the inverse relationship between prettiness and deliciousness.” (What I ate was unpretty and highly delicious.)""}]","A spare, elegant wine bar in the sunken space under the lobby of the museum.","945 Madison Avenue,
                             Upper East Side","646-558-5383","Moderate.","American, Japanese, Spanish"
"Houseman","You don’t taste Houseman’s food in politely appreciative nibbles, you throw yourself at it until there’s nothing left. No menu layout can convey this quality, but when you find a restaurant that has it, you come back.","Read Review","http://www.nytimes.com/2015/09/30/dining/restaurant-review-houseman-in-hudson-square.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Houseman is a new restaurant where you can get, among other good things, an excellent roast chicken. “Big whoop,” you say. “I can get excellent roast chicken at a place in my neighborhood.” Well, no, you probably can’t, unless you live across the street from Barbuto. But let’s not argue. Let’s talk about Houseman.""},{""Review"":""It’s on Greenwich Street in Hudson Square, on a block that the rest of the city forgot about after the Holland Tunnel was built and then suddenly remembered a few years ago. Across the street is a glass-and-steel apartment house by the architect Winka Dubbeldam. It looks like a venetian blind that got tangled up with the building next door. If I lived there, I would have been happy in July when the lights came on inside Houseman, illuminating the white brick walls and pale wood tables and chairs. By now, I’d know the hosts who stand in the doorway or on the sidewalk. And one of my daily routines would be checking out the changes on the menu, which is laid out like a newspaper’s front page. Print lives!""}]","A warmly lighted, sparely decorated bistro with a vaguely New England look. Servers are eager and kind, if under-rehearsed.","508 Greenwich Street,
                             Hudson Square","212-641-0654","Controlled except in the far back, where voices reverberate.","American"
"Naya Mezze and Grill","New York has never had a Lebanese restaurant like Naya.","Read Review","http://www.nytimes.com/2008/12/17/dining/17brief-001.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Naya Mezze and Grill""},{""Review"":""1057 Second Avenue (56th Street), (212) 319-7777.""}]","null","null","null","null","null"
"Calexico Carne Asada","This Carroll Gardens taqueria serves a carne asada quesadilla that has a punch of flavor so intense, it’s hard to justify ordering anything else.","Read Review","http://www.nytimes.com/2009/08/19/dining/reviews/19unde.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""NEARLY 1,600 miles lie between Calexico, a hardscrabble California border town, and Oaxaca, Mexico’s cultural and culinary capital.""},{""Review"":""Just seven blocks separate Calexico Carne Asada 122 Union Street (Columbia Street), (718) 488-8226, and Oaxaca 251 Smith Street (Douglass Street); (718) 643-9630, two new Brooklyn taquerias. But they’re as different as their provenances suggest.""}]","singlepage.com/calexico-carne-asada","122 Union Street,
                             Columbia Street Waterfront District","718-488-8226","$ (inexpensive)","Mexican"
"Timna","Timna’s chef, Nir Mesika, grew up in Israel, and his cooking is at its strongest when he draws from memory, as with kubaneh, a Yemenite-Jewish bread somewhere between brioche and challah, or a simple dish of vegetables and farro laced with raw tahini and date molasses.","Read Review","http://www.nytimes.com/2015/10/28/dining/hungry-city-timna-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""At Timna, in the East Village, the loveliest dish is little more than a handful of vegetables and grains. Stubby carrots and fat disks of butternut squash arrive with deep black ruts from a charcoal grill, cooked until just relaxed, yielding without devolving into mush. Beneath is a sprawl of farro, halfway between firmness and fluff.""},{""Review"":""This is good, straightforward cooking. The surprise: Swooped around the plate are raw tahini and date molasses, whose crossing vectors of earthy and sweet summon a nostalgic pang for peanut butter and jelly. It’s a strange, childish comfort, abetted by sage leaves flash-fried so they shatter on the tongue like the most fragile of potato chips — only with a latent, grown-up streak of bitterness.""}]","singlepage.com/timna-nyc","109 St. Marks Place,
                             East Village","646-964-5181","Kubaneh bread; farro and vegetables; Chinatown salad; Israeli steak tartare; Mediterranean sashimi. Prices $7 to $28.","Mediterranean"
"Bien Cuit","Artisanal breads and pastries worthy of Paris.","Read Review","http://www.nytimes.com/2011/11/09/dining/reviews/bien-cuit-nyc-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""120 Smith Street, Boerum Hill, Brooklyn; (718) 852-0200; biencuit.com.""},{""Review"":""The name of the new artisanal bakery on Smith Street, Bien Cuit, translates from the French as “well done.” It signifies the way the best artisans believe all bread should be baked: with a dark brown crust to bring out the deep flavors of the grains. So the sign out front advertises the philosophy of the baker, Zachary Golper.""}]","singlepage.com/bien-cuit","120 Smith Street,
                             Boerum Hill","718-852-0200","Baguette, sunflower-rye bread, sandwiches, almond-pear danish, peach-and-raspberry tart, cauliflower-and-Brie tart, croissants.","Bakery/Baked Goods"
"Botequim","Botequim has Brazilian food that, under the direction of the chef Marco Moreira, is really too good to be trapped in the basement of a hotel on Fourth Avenue.","Read Review","http://www.nytimes.com/2014/12/24/dining/restaurant-review-botequim-in-the-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Restaurants hide in all kinds of ways. There is the coy, unmarked-door hiding of the neo-speakeasy. There is the romantic hiding of restaurants whose positioning at, say, the end of an alley allows men to seem clever and their dates to seem impressed. There is the snooty hiding of exclusive restaurants that behave like private clubs, an affectation that is going out of style and won’t be missed.""},{""Review"":""Then there is Botequim, a fine new Brazilian restaurant that seems to have been hidden away against its will in the basement of a hotel on Fourth Avenue.""}]","A casual but stylish downstairs dining room livened up by an open kitchen.","132 Fourth Avenue,
                             Greenwich Village","212-432-1324","Moderate.","Brazilian"
"Beco","Solid Brazilian cooking that doesn't try to do too much, tasty food to accompany a beer.","Read Review","http://www.nytimes.com/2010/02/03/dining/03brief-002.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""45 Richardson Street (Lorimer Street), Williamsburg, Brooklyn; (718) 599-1645; becobar.com.""},{""Review"":""Feijoada is as Brazilian as bossa nova and the bicycle kick, but it stands up to a New York winter.""}]","null","null","null","null","null"
"The Harrison","Modern-American bistro food cooked with a New England accent, served in a beautiful, TriBeCa date-night room.","Read Review","http://www.nytimes.com/2010/11/10/dining/reviews/10dinbriefs.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""355 Greenwich Street (Harrison Street), TriBeCa; (212) 274-9310; theharrison.com.""},{""Review"":""Stopped into the Harrison for dinner; took a table in the bar. Jimmy Bradley, the restaurant’s owner and original chef, had returned to the kitchen after an absence of many years, and replaced the menu developed by Amanda Freitag, who left the restaurant, with his own.""}]","singlepage.com/the-harrison","355 Greenwich Street,
                             TriBeCa","212-274-9310","$$$ (expensive)","Italian, New American"
"MP Taverna Astoria","MP Taverna offers Michael Psilakis’s second-generation, melting-pot vision of an America where Greek flavors have been woven into the fabric of American cooking so thoroughly that they’re taken for granted.","Read Review","http://www.nytimes.com/2013/08/07/dining/reviews/restaurant-review-mp-taverna-astoria-in-queens.html?rref=collection%2Fcollection%2Frestaurant-guide","[]","null","null","null","null","null"
"Lumpia Shack Snackbar","At Lumpia Shack Snackbar, Neil Syham, the chef, makes pretty but still potent versions of Filipino classics. There are just a few stools along the counter, which is too bad, because this is food best eaten on the spot.","Read Review","http://www.nytimes.com/2014/08/06/dining/hungry-city-lumpia-shack-snackbar-in-the-west-village.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Ears, jowls, belly. They come brined, blanched, shattered and fried, each tip blackened and alchemized, each pocket of fat approaching liquefaction. A raw yolk idles on top. Stab it and churn. This is sisig, the greatest pork hash — arguably greatest pork dish — on earth. Say the name with two flicks of the tongue, somewhere between a whisper and a hiss.""},{""Review"":""In Filipino restaurants, sisig is usually prefaced by the adjective “sizzling” and presented on a snapping-hot skillet. At Lumpia Shack Snackbar, a counter-seating-only storefront in the West Village, the meat is thrown over rice and crowded around by achara (pickled vegetables) and herbs, among them pink-stained baby radishes and oversize basil leaves poised like butterfly wings. It’s pretty but still rowdy, the bowl ticking with vinegar, sambal and calamansi.""}]","singlepage.com/lumpia-shack-snackbar","50 Greenwich Avenue,
                             West Village","917-475-1621","Sisig; pancit bihon; chicken Bicol Express; pork belly afritada; bangus; crispy pata fries; truffled adobo mushroom lumpia; halo-halo.","Philippine"
"Henry Public","A Cobble Hill pub that honors the borough’s illustrious past, with ephemera, drink names, and a &quot;bill of fare&quot; that evokes the Brooklyn of Walt Whitman.","Read Review","http://www.nytimes.com/2009/12/16/dining/reviews/16under.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""“HOW is it I extract strength from the beef  I eat?” asks Walt Whitman in “Song of Myself.”""},{""Review"":""When the beef is a grass-fed LaFrieda  blend, it’s easy  to understand how; the well-charred patty ($13) at   Henry Public, a saloon in Cobble Hill, Brooklyn,  is lean, juicy and pure. Served unembellished (cheese and bacon are extra) on a plump Orwasher’s bun, with a side of skinny fries and juniper pickles, this austere “hamburger sandwich” is a balm to an appetite fatigued by too many baroque  burgers.""}]","singlepage.com/henry-public","329 Henry Street,
                             Cobble Hill","718-852-8630","$$ (moderate)","American"
"Old Tbilisi Garden","Old Tbilisi Garden offers subtle pleasures of Georgian food, dishes suffused with summer savory, coriander, marigold and blue fenugreek. And it has adjaruli khachapuri, a thick flatbread with the ends tapered into blunt handles and the middle a cauldron of near-volcanic cheese, with a yolk slowly setting on top.","Read Review","http://www.nytimes.com/2014/10/01/dining/hungry-city-old-tbilisi-garden-in-greenwich-village.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""“That is not a safe choice,” the waiter said. I had asked about the veal entrails, as mythopoeic a description of offal as I had ever seen on a menu, smacking of ritual sacrifice.""},{""Review"":""As prepared at Old Tbilisi Garden, in Greenwich Village, the dish (called kuchmachi) proved to be heart, liver and intestine, chopped so fine I might not have guessed their origins, save for the occasional waft of deep nether funk. The nubs of meat were suffused with summer savory, coriander, marigold and blue fenugreek, an ensemble of herbs at once familiar and, in conjunction, slightly alien, like a musky, more sensuous bouquet garni.""}]","singlepage.com/old-tbilisi-garden","174 Bleecker Street,
                             Greenwich Village","212-470-6064","Imeruli salad; nadughi (farmer’s cheese); steamed khinkali (dumplings); adjaruli khachapuri (cheese bread with egg); megruli khachapuri (cheese bread with extra cheese); kharcho (rice and beef soup); elarji (cheese polenta); lula kebab lamb; chicken mstvadi (kebab).","Eastern European, Russian"
"El Quinto Pino","A short “menu turistico” investigates a different region of the country every few months and the thirty seats in the dining room feel romantic, but not in an obvious way. It’s a room meant for talking.","Read Review","http://www.nytimes.com/2014/05/14/dining/restaurant-review-el-quinto-pino-in-chelsea.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""The name means “the fifth pine,” a Spanish idiom for the boondocks, which was probably a stretch even seven years ago when El Quinto Pino opened on West 24th Street, across from the canyon wall of London Terrace. The thumbnail curve of the sardine-can tapas bar is just the way it’s been since the beginning, packed, every seat there and on the opposite wall a few inches away taken almost any time you show up.""},{""Review"":""Turn right at the door, though, and you’ll find something new. Last fall, El Quinto Pino’s owners and chefs, Alex Raij and her husband, Eder Montero, took over the lease on the apartment next door and filled it with tables, making their sardine can a real restaurant. “It won’t make a bid for your entire night: You will snack at El Quinto Pino and almost inevitably eat more somewhere else,” Peter Meehan wrote in a “$25 and Under” column in 2007, its last review in The New York Times. With a reservation for that side room you won’t need to go anywhere else for dinner. You won’t want to, either, once the food starts zooming out of the kitchen.""}]","The dining room, hidden from the street and the perennially crowded bar, has a homey, intimate, subtly midcentury feel.","401 West 24th Street,
                             Chelsea","212-206-6900","Made for conversation.","Spanish"
"Juventino","After a year of takeout with prepped ready-to-cook ingredients, this spot began offering table service for breakfast, lunch, brunch and dinner.","Read Review","http://www.nytimes.com/2009/05/13/dining/reviews/13unde.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""EVERYONE wants cut-rate comfort when they go out to eat, and the java-joint ethic — inexpensive food in a place you can sit all day with a laptop — sure is appealing.""},{""Review"":""But can a restaurant nickel-and-dime its way to success these days? What if you don’t call your place a restaurant? Prop some food on a shelf and call it a “market.” Then there’s less pressure to turn the tables.""}]","null","null","null","null","null"
"Coppelia","This self-styled 24-hour Cuban luncheonette serves a wide-ranging menu of Latino food from across the Caribbean and into South America.","Read Review","http://www.nytimes.com/2011/09/28/dining/reviews/miss-lilys-and-coppelia-nyc-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""ONE is a self-styled Cuban diner, the other a Jamaican luncheonette. Neither serves steak au poivre. But two restaurants would seem to be making a run at the cool-kid crown left tarnished on the streets of Manhattan when a rent increase closed the French-accented Florent in 2008.""},{""Review"":""Only one is open 24 hours, as Florent was: Coppelia, which the talented Mexican restaurateur Julian Medina opened on West 14th Street in April. The restaurant serves a wide-ranging menu of Latino food from across the Caribbean basin and into South America, and an all-day breakfast menu of the sort to delight barflies, insomniacs, late-rising drag queens and all those who thrill to the flavor of pressed Cuban toast with eggs.""}]","An urban island retreat for the very good looking.","132 West Houston Street,
                             Greenwich Village","646-588-5375","Ska, reggae and loud conversation: not quiet.","Caribbean"
"Bouley","The baronial dining room and the lushness of David Bouley’s cooking make this a restaurant for sensualists and romantics.","Read Review","http://www.nytimes.com/2016/03/02/dining/bouley-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Yes, the apples are still there. Hundreds of them, lining shelf after shelf in Bouley’s first room, the small one with the coat closet. Going soft under the skin, ripening, giving up the yeasty cider-mash smell you meet in orchard barns. As far back as 1987, when he opened the original Bouley on the other side of Hudson Street in TriBeCa, David Bouley has wanted that scent inside your head the minute you walked in.""},{""Review"":""Yes, the trick works. Before your mind has time to doubt, your senses are leading you.""}]","A downtown chateau done up with Old World antiques. Jackets required for men. Service is formal, with a quiet sense of occasion.","163 Duane Street,
                             TriBeCa","212-964-2525","Gentle.","American, French"
"Onegin","Big and over the top like the palatial Russian restaurants of Brighton Beach, but it offers few of their pleasures.","Read Review","http://www.nytimes.com/2012/01/11/dining/reviews/onegin-nyc-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""391 Avenue of the Americas (Waverly Place); (212) 924-8001; oneginnyc.com""},{""Review"":""New Yorkers in need of an exuberant dose of Russian surrealism usually head to one of the velvet-and-gold restaurants by Brighton Beach where the entertainers wear sequins and the customers furs, where the band plays pop songs in 12 languages and even those who shouldn’t be on the dance floor get out there and shake it, where you lose track of how many bottles of vodka have slammed on the table.""}]","singlepage.com/onegin","391 Avenue of the Americas,
                             West Village","212-924-8001","","Russian"
